facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,LG Chem,Daesan,Acetone,Utility,225,2013,2030,48750000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho P&B Chemical,Yeosu,Acetone,Utility,420,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Acetone,Utility,210,2005,2030,17500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Samyang Innochem,Gunsan,BPA,Utility,180,2012,2030,36000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,BPA,Utility,165,2013,2030,35750000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho P&B Chemical,Yeosu,BPA,Utility,450,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,BPA,Utility,330,2005,2030,27500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Bluecube Chemical,Gumi,Epoxy Resin,Utility,52,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kukdo Chemical,Busan/Iksan/Siheung,Epoxy Resin,Utility,530,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho P&B Chemical,Yeosu,Epoxy Resin,Utility,338,2019,2030,107033333.33333333,shaheen_ncc_h2_15c,1.5C
